Sr no,Name of library,x coord,y coord,Addresss
156,Shri Uddhavrao Patil Wagh Sarvajanik Wachanalaya,19.49088426,75.15755234,"Jawakhede Dumala, Maharashtra 414505"
157,Swami Samarth Sarvajanik Wachanalay,18.84420194,74.37615893,"Swami Samarth Sarvajanik Wachanalay, Bhorwadi, Maharashtra 414005"
158,Shrimant Raje Chhatrapati Sarvjanik Wachnalay,19.51159644,75.22347031,"Unnamed Road, Rakshas Bhuwan, Maharashtra 413249"
159,एकता सार्वजनिक वाचनालय,20.18885061,73.45678957,"Karanjali, Savalghat, Khalcha Pada, Peint, Maharashtra 422208"
160,Wasil Khan Marg Vachnalaya,18.96218517,72.84698158,"Vasil Khan Marg, Nagpada, Mumbai, Maharashtra 400008"
161,Sarvajanik Wachanalaya,18.65066464,73.78403151,"411035, Vivek Nagar, Akurdi, Pimpri-Chinchwad, Maharashtra 411035"
162,Jijau Library,18.94883916,72.83588945,"Ambadi Naka, Maharashtra 421302"
163,JIJAU LIBRARY,19.57407507,73.44994356,"Padgha Bajarpeth Rd, Sharad Nagar, Padgha, Maharashtra 421101"
164,Raj Mata Jijau Granthalaya,19.40492152,73.53753004,"Katrap, Badlapur, Maharashtra 421503"
165,Rajmata Jijau Vachnalay,19.72910023,73.69971917,"Ramdas Swami Nagar, Nashik, Maharashtra 422006"
166,Rajmata Jijau Child library,18.45619846,73.56029723,"bear Lal Mahal, Jijamata Rd, Durvankur Society, Kasba Peth, Pune, Maharashtra 411011"
167,Rashtramata Jijau Sarvjanik Vachnalaya,19.85337327,76.76754492,"Deulgaon Banda, Maharashtra 444510"
168,Sant Gadge Baba Vachanalaya,21.11536231,76.97082804,"Main Road, Adgaon Khurd, Maharashtra 444126"
169,Rajarshi Chatrapati Shahu Maharaj Libary,19.231739,77.1869327,"Sayala Sunegaon Rd, Sayala Sunegaon, Maharashtra 431521"
170,Shahu Maharaja sarvajanik vachnalaya,20.3378324,78.78367914,"Ward Number 2, near Hanuman Mandir, Borgaon Meghe, Wardha, Maharashtra 442001"
171,Chhatrapati Shivaji Maharaj sarvjanik vachnalay,19.05003617,77.97890156,"AT.GOLEGAON POST.KHANDGAON TA.NAIGAON, Golegaon, Maharashtra 431722"
172,Shri Chatrapati Shivaji Maharaj sarvajanik vachnalaya,18.21900974,76.98974224,"Harishchandra nagar, Shivpur, Maharashtra 413524"
173,RAJASHREE CHATRAPATI SHAHU MAHARAJ SARVAJANIK VACHNALAY,21.34769535,79.70869736,"Baba Farid Nagar, HASARA, TUMSAR, Nagpur, Maharashtra 441912"
174,Phule Shahu Ambedkar Sarvajanik Vachnalay,20.3378324,78.72874751,"Budha Vihar Rd, Kavtha, Maharashtra 442302"
175,Phule Shahu Vachnalaya,20.7952491,77.78304672,"Pohi Rd, Pohi, Maharashtra 444106"
176,Chatrapati Shahu Maharaj Granthalaya,17.67892246,75.56095638,"Nandore, Maharashtra 413315"
177,Chatrapati Shivaji Maharaj Sarvajanik Vachnalaya,19.79223317,79.81259134,"Ghot, Maharashtra 442604"
178,Mahatma phule sarvajanik vachanalay,20.14351321,77.06473915,Maharashtra 444505
